CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10500,"Albany, GA",PM2.5,Weighted Annual Mean,1,16.6,14.6,13.8,13.4,14.1,14.6,14.9,15,12.8,11.8,12.3,12.1,10.6,10,10.3,9,8.7,9.4,8.4,9.3,9.1
11140,"Americus, GA",O3,4th Max,1,0.092,0.082,0.07,0.072,0.07,0.071,0.077,0.076,0.068,0.06,0.069,0.066,0.065,0.06,0.059,0.057,0.065,0.058,0.062,0.062,0.054
11700,"Asheville, NC",O3,4th Max,3,0.086,0.08,0.09,0.077,0.072,0.082,0.072,0.076,0.076,0.065,0.072,0.067,0.068,0.063,0.065,0.065,0.065,0.061,0.064,0.062,0.057
12020,"Athens-Clarke County, GA",O3,4th Max,1,0.084,0.084,0.084,0.072,0.078,0.082,0.086,0.083,0.077,0.067,0.073,0.075,0.071,0.06,0.063,0.061,0.069,0.063,0.065,0.063,0.056
12060,"Atlanta-Sandy Springs-Roswell, GA",NO2,Annual Mean,1,18,17,15,13,15,14,15,15,13,11,14,13,12,9,11,10,11,9,8,9,8
12260,"Augusta-Richmond County, GA-SC",O3,4th Max,3,0.087,0.08,0.092,0.072,0.077,0.076,0.075,0.078,0.074,0.065,0.067,0.068,0.062,0.057,0.059,0.059,0.063,0.059,0.063,0.066,0.054
13820,"Birmingham-Hoover, AL",CO,2nd Max,1,3.7,6.3,3.7,3.1,3.9,2.5,3.1,2,2.2,2.9,2.2,2.1,1.7,1.7,2.4,1.9,1.4,1,1.2,1.2,1.1
15260,"Brunswick, GA",O3,4th Max,1,0.073,0.071,0.076,0.069,0.073,0.064,0.069,0.062,0.067,0.057,0.066,0.062,0.057,0.057,0.057,0.055,0.057,0.056,0.06,0.06,0.052
15980,"Cape Coral-Fort Myers, FL",O3,4th Max,2,0.071,0.067,0.062,0.074,0.072,0.07,0.07,0.069,0.068,0.062,0.064,0.062,0.063,0.065,0.062,0.058,0.06,0.063,0.065,0.061,0.06
16700,"Charleston-North Charleston, SC",NO2,Annual Mean,1,11,11,10,10,10,10,9,8,9,8,8,7,7,7,7,6,5,7,6,6,6
16740,"Charlotte-Concord-Gastonia, NC-SC",NO2,Annual Mean,1,18,17,15,16,15,15,13,14,11,10,12,10,9,8,9,8,8,7,6,7,6
16860,"Chattanooga, TN-GA",O3,4th Max,1,0.098,0.082,0.099,0.08,0.076,0.077,0.088,0.085,0.076,0.066,0.076,0.074,0.077,0.061,0.064,0.068,0.065,0.064,0.064,0.064,0.057
17900,"Columbia, SC",O3,4th Max,3,0.087,0.084,0.086,0.077,0.077,0.082,0.077,0.077,0.076,0.063,0.069,0.073,0.062,0.056,0.059,0.058,0.064,0.058,0.059,0.063,0.053
17980,"Columbus, GA-AL",O3,4th Max,1,0.087,0.073,0.079,0.07,0.068,0.078,0.08,0.083,0.073,0.065,0.068,0.068,0.066,0.06,0.061,0.062,0.065,0.058,0.059,0.063,0.053
19000,"Cullowhee, NC",O3,4th Max,1,0.083,0.079,0.082,0.079,0.069,0.075,0.08,0.08,0.072,0.063,0.069,0.068,0.069,0.067,0.068,0.065,0.069,0.064,0.065,0.065,0.065
19140,"Dalton, GA",O3,4th Max,1,0.09,0.08,0.092,0.085,0.074,0.08,0.075,0.082,0.076,0.069,0.073,0.073,0.07,0.062,0.067,0.063,0.067,0.065,0.064,0.067,0.057
19300,"Daphne-Fairhope-Foley, AL",O3,4th Max,1,0.097,0.078,0.072,0.078,0.08,0.074,0.081,0.078,0.072,0.069,0.074,0.073,0.067,0.062,0.07,0.063,0.062,0.064,0.064,0.063,0.057
19460,"Decatur, AL",O3,4th Max,1,0.091,0.077,0.087,0.081,0.072,0.079,0.078,0.081,0.068,0.062,0.07,0.07,0.074,0.06,0.062,0.063,0.067,0.06,0.066,0.064,0.057
19660,"Deltona-Daytona Beach-Ormond Beach, FL",O3,4th Max,1,0.076,0.073,0.069,0.07,0.068,0.068,0.071,0.065,0.064,0.06,0.066,0.064,0.064,0.061,0.062,0.057,0.059,0.062,0.064,0.056,0.059
22180,"Fayetteville, NC",O3,4th Max,1,0.086,0.081,0.094,0.086,0.072,0.084,0.072,0.08,0.075,0.065,0.071,0.073,0.068,0.062,0.061,0.06,0.064,0.063,0.064,0.061,0.055
22520,"Florence-Muscle Shoals, AL",PM2.5,Weighted Annual Mean,1,15.6,12.8,12.8,12.9,11.8,13.2,12.6,13.5,11.2,9.4,10.9,10.3,8.8,8.6,9.4,8.7,7.5,7.4,7.5,7.5,7.5
22840,"Fort Payne, AL",PM2.5,Weighted Annual Mean,1,17.2,14.7,14.4,15,14.1,14.2,13.7,13.9,11.5,9.7,11.6,11.2,9.2,9,9.6,9,7.7,8,7,7.5,7.1
23460,"Gadsden, AL",O3,4th Max,1,0.083,0.083,0.083,0.076,0.068,0.071,0.074,0.075,0.064,0.061,0.065,0.062,0.061,0.06,0.059,0.06,0.064,0.061,0.064,0.063,0.053
