CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10300,"Adrian, MI",O3,4th Max,1,0.082,0.086,0.089,0.088,0.074,0.082,0.074,0.081,0.072,0.067,0.066,0.076,0.087,0.064,0.068,0.065,0.069,0.066,0.071,0.059,0.067
10420,"Akron, OH",O3,4th Max,2,0.085,0.096,0.1,0.09,0.079,0.091,0.074,0.087,0.075,0.067,0.074,0.073,0.072,0.059,0.06,0.065,0.06,0.066,0.068,0.062,0.063
10420,"Akron, OH",SO2,99th Percentile,1,163,132,145,167,172,140,138,46,34,31,27,24,22,23,21,14,8,3,6,3,4
10580,"Albany-Schenectady-Troy, NY",O3,4th Max,2,0.07,0.089,0.091,0.081,0.075,0.082,0.07,0.078,0.078,0.066,0.072,0.066,0.071,0.063,0.061,0.062,0.068,0.061,0.066,0.055,0.054
10580,"Albany-Schenectady-Troy, NY",SO2,99th Percentile,1,56,67,34,42,39,25,21,20,22,18,14,15,9,9,8,7,4,4,2,3,2
10740,"Albuquerque, NM",NO2,Annual Mean,1,17,17,19,18,17,16,15,15,13,12,12,13,14,12,12,11,10,10,10,9,8
10740,"Albuquerque, NM",NO2,98th Percentile,1,54,54,57,55,52,51,53,64,65,48,53,50,49,45,42,43,44,45,45,44,41
10740,"Albuquerque, NM",O3,4th Max,3,0.072,0.071,0.074,0.076,0.071,0.073,0.071,0.069,0.064,0.063,0.066,0.069,0.07,0.067,0.062,0.066,0.065,0.069,0.074,0.067,0.071
10900,"Allentown-Bethlehem-Easton, PA-NJ",NO2,Annual Mean,1,17,16,13,13,14,15,12,12,12,11,11,11,9,9,10,9,9,7,6,6,8
10900,"Allentown-Bethlehem-Easton, PA-NJ",O3,4th Max,2,0.092,0.094,0.095,0.087,0.086,0.086,0.079,0.082,0.078,0.069,0.081,0.078,0.074,0.067,0.068,0.07,0.074,0.069,0.07,0.065,0.062
11020,"Altoona, PA",O3,4th Max,1,0.08,0.083,0.089,0.083,0.073,0.077,0.071,0.071,0.075,0.065,0.072,0.074,0.08,0.065,0.06,0.069,0.062,0.063,0.064,0.064,0.063
11020,"Altoona, PA",SO2,99th Percentile,1,62,68,51,62,61,72,48,56,55,51,36,32,28,29,30,31,13,7,8,8,4
11140,"Americus, GA",O3,4th Max,1,0.092,0.082,0.07,0.072,0.07,0.071,0.077,0.076,0.068,0.06,0.069,0.066,0.065,0.06,0.059,0.057,0.065,0.058,0.062,0.062,0.054
11460,"Ann Arbor, MI",O3,4th Max,1,0.078,0.092,0.091,0.091,0.071,0.083,0.076,0.077,0.069,0.065,0.066,0.077,0.085,0.065,0.07,0.064,0.069,0.068,0.07,0.06,0.072
